# X,  y (regression),  y (classification)
0.9763,-2.5413,0.0000
4.3038,2.5757,1.0000
8.6272,0.7589,1.0000
0.8977,-2.5177,0.0000
-1.5269,-1.5703,0.0000
-2.6820,-0.4644,0.0000
-1.2483,-1.9798,0.0000
7.8355,1.6113,1.0000
9.2733,-0.1431,0.0000
-2.3312,-0.8318,0.0000
5.8345,2.7643,1.0000
0.5779,-2.6711,0.0000
1.3609,-2.1612,0.0000
8.5119,0.9852,1.0000
-8.5793,1.7140,1.0000
5.7207,2.5005,1.0000
-9.5956,2.0952,1.0000
6.6524,2.1929,1.0000
5.5631,2.5554,1.0000
7.4002,1.7939,1.0000
9.5724,-0.4382,0.0000
5.9832,2.2897,1.0000
-0.7704,-2.2879,0.0000
5.6106,2.5842,1.0000
9.7511,-0.3079,0.0000
-2.2775,-0.8824,0.0000
7.9000,1.3890,1.0000
8.8934,0.6250,1.0000
0.4370,-2.4328,0.0000
-1.7068,-1.3464,0.0000
-2.0928,-1.0819,0.0000
5.4847,2.6660,1.0000
-0.8770,-2.1520,0.0000
1.3687,-2.0555,0.0000
-9.6242,1.9892,1.0000
4.3233,2.6335,1.0000
-2.6405,-0.6447,0.0000
-3.2437,-0.6786,0.0000
8.8750,0.6034,1.0000
-2.9993,-0.4610,0.0000
-2.8098,-0.4724,0.0000
-1.2594,-1.8698,0.0000
3.9526,2.1037,1.0000
-8.7955,1.7600,1.0000
-3.1927,-0.4678,0.0000
-2.2707,-1.0451,0.0000
7.6151,1.7321,1.0000
7.0388,2.0749,1.0000
-3.6914,-0.5040,0.0000
-2.7258,-0.6580,0.0000
1.4039,-1.9705,0.0000
-1.2280,-1.9306,0.0000
9.7675,-0.5314,0.0000
3.6653,1.8173,1.0000
1.3724,-1.9328,0.0000
-3.4144,-0.5750,0.0000
-2.2835,-0.7886,0.0000
5.4826,2.5564,1.0000
-0.6738,-2.5448,0.0000
2.0289,-0.9945,0.0000
5.8314,2.4057,1.0000
7.8753,1.5282,1.0000
9.4208,-0.1910,0.0000
7.7255,1.8188,1.0000
-4.2280,-0.5988,0.0000
-2.6255,-0.6350,0.0000
6.4199,2.2680,1.0000
0.7039,-2.5602,0.0000
6.7589,2.0641,1.0000
5.9438,2.4291,1.0000
9.5292,-0.2637,0.0000
-0.6270,-2.4940,0.0000
9.5352,-0.2528,0.0000
0.5738,-2.7162,0.0000
4.7853,2.7613,1.0000
-9.2162,2.2158,1.0000
-4.3439,-0.6288,0.0000
-1.9634,-1.0564,0.0000
-4.0772,-0.5261,0.0000
2.9847,0.6040,1.0000
-3.6403,-0.6530,0.0000
-1.7147,-1.2217,0.0000
-8.7171,1.7535,1.0000
3.8494,1.9622,1.0000
1.3320,-2.0891,0.0000
-3.6244,-0.6483,0.0000
0.4650,-2.7626,0.0000
-1.5617,-1.6397,0.0000
1.5189,-2.0614,0.0000
8.5859,0.8759,1.0000
-3.6286,-0.6071,0.0000
-4.1316,-0.4746,0.0000
6.8459,2.1972,1.0000
4.3265,2.6917,1.0000
-4.2119,-0.5903,0.0000
-1.2228,-1.9915,0.0000
1.7303,-1.5546,0.0000
-9.5978,2.1346,1.0000
6.5788,2.1368,1.0000
-9.9061,2.0647,1.0000
0.4967,-2.6328,0.0000
8.7490,0.8101,1.0000
4.7039,2.7207,1.0000
9.2438,-0.0255,0.0000
5.5816,2.7129,1.0000
1.5231,-1.9267,0.0000
0.5198,-2.7949,0.0000
1.4450,-1.9759,0.0000
-3.9430,-0.3384,0.0000
9.0550,0.1634,1.0000
-1.0575,-2.0809,0.0000
6.9282,2.0320,1.0000
3.9896,2.2173,1.0000
-4.0513,-0.7784,0.0000
6.2760,2.4253,1.0000
-2.0699,-0.9921,0.0000
7.6221,1.6186,1.0000
1.6255,-1.7154,0.0000
7.6347,1.6196,1.0000
3.8506,2.0172,1.0000
4.5051,2.7059,1.0000
0.0265,-2.7066,0.0000
9.1217,0.1488,1.0000
-0.4824,-2.4981,0.0000
-1.5229,-1.4456,0.0000
-1.6782,-1.5679,0.0000
-9.6161,2.1285,1.0000
-3.9685,-0.6172,0.0000
