ACCURACY,SCALING,TEMPERATURE,UNCERTAINTY
63.19838567284651,cold,1e-08,0
63.16054988018666,cold,1e-06,0
63.210997603733134,cold,1e-05,0
63.11010215664018,cold,0.0001,0
63.17316181107328,cold,0.001,0
63.17316181107328,cold,0.01,0
63.3245049817127,cold,0.1,0
63.438012359692266,cold,1,0
64.91360827342666,tempered,1e-08,0
64.95144406608652,tempered,1e-06,0
65.22890654559212,tempered,1e-05,0
65.12801109849919,tempered,0.0001,0
65.09017530583932,tempered,0.001,0
64.96405599697313,tempered,0.01,0
64.48480262328162,tempered,0.1,0
63.53890780678522,tempered,1,0
64.00554924959012,cold,1e-08,0.1
63.82898221717745,cold,1e-06,0.1
63.53890780678522,cold,1e-05,0.1
63.967713456930255,cold,0.0001,0.1
63.879429940723924,cold,0.001,0.1
63.9298776642704,cold,0.01,0.1
64.15689242022954,cold,0.1,0.1
64.05599697313659,cold,1,0.1
52.61697565897339,cold,1e-08,0.2
61.74801362088536,cold,1e-06,0.2
52.61697565897339,cold,1e-05,0.2
52.61697565897339,cold,0.0001,0.2
52.61697565897339,cold,0.001,0.2
52.61697565897339,cold,0.01,0.2
62.769580022701476,cold,0.1,0.2
63.816370286290834,cold,1,0.2
52.61697565897339,cold,1e-08,0.3
52.61697565897339,cold,1e-06,0.3
52.61697565897339,cold,1e-05,0.3
52.61697565897339,cold,0.0001,0.3
52.61697565897339,cold,0.001,0.3
52.61697565897339,cold,0.01,0.3
52.61697565897339,cold,0.1,0.3
61.9119687224114,cold,1,0.3
52.61697565897339,cold,1e-08,0.4
52.61697565897339,cold,1e-06,0.4
52.61697565897339,cold,1e-05,0.4
52.61697565897339,cold,0.0001,0.4
52.61697565897339,cold,0.001,0.4
52.61697565897339,cold,0.01,0.4
52.61697565897339,cold,0.1,0.4
52.61697565897339,cold,1,0.4
65.8216672972632,tempered,1e-08,0.1
65.8216672972632,tempered,1e-06,0.1
65.69554798839702,tempered,1e-05,0.1
65.79644343548998,tempered,0.0001,0.1
66.02345819144911,tempered,0.001,0.1
66.06129398410897,tempered,0.01,0.1
65.38024971623156,tempered,0.1,0.1
64.09383276579645,tempered,1,0.1
65.55681674864422,tempered,1e-08,0.2
65.58204061041745,tempered,1e-06,0.2
65.35502585445832,tempered,1e-05,0.2
65.45592130155127,tempered,0.0001,0.2
65.61987640307731,tempered,0.001,0.2
65.46853323243789,tempered,0.01,0.2
65.06495144406608,tempered,0.1,0.2
64.01816118047672,tempered,1,0.2
65.00189178963299,tempered,1e-08,0.3
65.30457813091185,tempered,1e-06,0.3
65.12801109849919,tempered,1e.05,0.3
65.46853323243789,tempered,0.0001,0.3
65.12801109849919,tempered,0.001,0.3
65.12801109849919,tempered,0.01,0.3
63.9929373187035,tempered,0.1,0.3
61.74801362088536,tempered,1,0.3
63.9298776642704,tempered,1e-08,0.4
63.9298776642704,tempered,1e-06,0.4
64.1316685584563,tempered,1e-05,0.4
64.5352503468281,tempered,0.0001,0.4
64.32084752175558,tempered,0.001,0.4
64.11905662756968,tempered,0.01,0.4
63.48846008323874,tempered,0.1,0.4
53.159288687098,tempered,1,0.4
